validAlertedResponses,age,gender,avg_happy,avg_energised,avg_focused,avg_stressed,avg_productive1h,avg_AC_10i,avg_AC_2i,avg_AC_5i,avg_BP_11i,avg_BP_13i,avg_BP_1i,avg_BP_9i,avg_EC_2i,avg_EC_5i,avg_GS_11i,avg_KP_10i,avg_SR_7m,avg_SU_3i,avg_SU_6i,avg_TL_10i,avg_TL_14i,avg_TL_6i,avg_TS_14i,avg_TS_1i,avg_AC_9m,avg_BP_4m,avg_EC_9m,avg_GS_12m,avg_GS_4m,avg_GS_7m,avg_KP_13m,avg_KP_3m,avg_KP_6m,avg_SR_12m,avg_SR_13m,avg_SR_14m,avg_SR_8m,avg_SU_12m,avg_SU_14m,avg_SU_16m,avg_TL_13m,avg_TL_16m,avg_TS_13m,avg_TS_16m,avg_TS_4m,avg_TS_8m,avg_AC_12t,avg_AC_4t,avg_AC_7t,avg_BP_5t,avg_GS_15t,avg_GS_5t,avg_GS_9m,avg_KP_4t,avg_KP_7t,avg_SU_15t,avg_TL_17t,avg_TL_1t,avg_TS_9t,avg_BA_1,avg_BA_2,avg_BA_3,avg_BA_4,avg_BA_5,avg_CE_1,avg_CE_2,avg_CE_3,avg_EE_1,avg_EE_2,avg_EE_3,avg_EE_4,avg_EE_5,avg_EE_6,avg_EE_7,avg_EE_8,avg_RC_1,avg_RC_2,avg_RC_3,avg_SA_1,avg_SA_2,avg_SA_3,avg_SA_4,avg_SA_5,avg_SA_6,avg_SA_7
21,45-54,female,0.896666669,0.888857143,0.920523811,0.416749999,0.973684211,1,,1,0.75,0.75,1,,1,1,1,1,1,1,,1,0.25,1,1,1,,1,1,1,1,1,1,1,,,0.75,0.75,1,1,1,1,1,1,1,,0.75,0.75,1,0.5,1,1,,,1,1,,0.5,0.25,0.5,0.75,0.5,0.75,,,1,,0.5,1,,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1
21,55+,female,0.627,0.706333334,0.809428573,0.407555554,0.927000001,1,1,,,0.5,1,1,1,,1,,1,,1,1,,1,1,0.875,1,1,1,,,,1,1,,1,,1,,1,1,,1,1,1,,1,1,1,1,0.875,,0.5,0.75,1,,1,,1,,1,,0.5,,1,,,0.75,1,,0.875,,0.75,1,,1,0.5,1,1,1,0.5,0.75,,0.75,,0.75,1
33,35-44,female,0.65660606,0.636393939,0.701969698,0.250124998,0.71981818,,1,0.75,0.875,0.5,,1,1,0.875,,1,1,1,1,0.875,0.5,,1,1,0.75,0.5,,,,0.75,0.625,,0.625,0.75,1,0.75,0.5,0.875,0.583333333,0.75,0.875,0.75,,0.5,,,0.875,,,0.5,0.75,,0.75,0.875,0.583333333,0.75,0.75,0.875,0.75,0.625,,0.75,0.75,1,,0.75,0.75,0.416666667,0.25,,0.583333333,0.75,0.75,,,,0.875,0.75,,0.75,,,0.875,0.75,
1,25-34,female,0.833000004,0.5,0.666999996,0.333000004,0.833000004,,,,,,,,,,,,,1,,,,,,,,,0.75,,0.75,,,,0.75,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,
2,35-44,male,0.166999996,0.166999996,0.5,,0.5,,,,,,,,,,0.75,,,,,,,,,,1,,,,,0.5,,,,,,,,,,0.5,1,,,,,,,,,,,0.5,,0.5,0.75,0.75,,,,,,,,1,,,,,,,,0.75,0.5,,,,,,,,,,,,
2,35-44,female,0.25,0.25,0.333499998,0.5,0.333000004,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,0.5,0.25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
25,16-24,female,0.580039999,0.40668,0.399960001,0.212090909,0.354000002,,,,,,0.5,,,0.25,,0.75,0.5,0.75,0.25,0.5,0.5,0.75,,,0.5,0.5,,0.5,,0.25,,0.25,0.5,,0.5,0.5,0.5,0.5,,0.25,,0.25,0.25,0.5,0.75,,,,,0.25,0.75,0.5,0.25,0.75,,,,0.5,0.5,0.5,0.25,,0.5,0.75,0.75,,,,0.25,,0.5,0.5,,0.75,,0.5,0.75,0.25,0.75,0.5,,0.5,0.75,0.25,
14,25-34,male,0.666714285,0.380785716,0.5,0.041749999,0.499750003,,1,0.75,1,0.75,,,,0.5,1,,1,1,1,,,,0.75,,,1,,1,1,1,,,1,,,0.75,,,,1,,,,,1,1,,0.5,,1,,,0.75,,1,,,0.75,,,,0.75,1,1,0.5,0.5,,0.75,0.25,,,,0.5,,,,1,,0.25,,,0.75,0.5,,
9,25-34,male,0.481555555,0.5,0.5,0.166999996,0.625,,,,,,,1,1,,,0.75,,1,,,0.75,,,,0.75,,0.75,0.75,0.75,0.75,0.75,,1,,1,,1,0.75,,,,,,1,1,,,,0.75,0.75,,,0.75,,0.75,,,,,0.75,0.75,0.75,0.75,1,0.75,,,0.75,,,0.75,0.75,0.75,,0.75,,,,,0.75,,,0.75,0.75,0.75
13,25-34,male,0.743615384,0.61553846,0.705230768,0.375,0.700199997,,1,0.75,,1,1,0.75,,0.75,1,0.75,1,1,1,,,,,,0.75,0.75,,0.5,1,0.75,0.5,0.75,0.75,0.75,1,0.75,,0.5,,,0.625,,0.75,0.5,0.5,,0.75,,,,,1,0.75,0.75,1,1,1,,1,0.75,1,,,1,0.75,1,,0.625,0.75,0.875,0.75,,0.75,0.75,1,1,1,1,1,1,0.75,0.625,1,0.75,0.75
18,45-54,female,0.601888888,0.407388889,0.601777779,0.305500001,0.527833333,,,0.75,,0.75,,0.75,,0.75,,,,,0.75,0.75,0.25,0.75,1,0.875,0.75,,0.875,0.75,,0.75,0.75,0.75,,0.625,1,,,,1,0.75,0.75,,1,0.625,,,,0.75,0.5,,0.75,0.75,,0.75,0.875,,0.75,0.75,1,0.625,,0.5,0.875,,0.25,,0.75,,,1,0.75,0.75,0.75,0.75,0.75,,1,0.75,0.75,0.75,0.75,0.75,0.75,,0.833333333
46,25-34,male,0.670478258,0.572586955,0.605152173,0.4222,0.649641025,,1,0.75,0.75,0.5,0.375,1,0.75,0.5,0.75,0.875,0.375,1,0.625,0.5,0.5,,0.875,0.916666667,,0.875,0.875,0.5,0.875,0.75,0.25,0.875,0.75,0.666666667,1,,0.625,0.75,0.75,1,0.875,0.875,0.875,0.75,1,0.875,0.75,0.583333333,0.75,0.375,0.875,0.625,0.625,0.75,0.875,0.875,,0.75,0.75,0,0.5,0.25,,1,0.75,0.25,0.75,0.25,1,0.75,0.5,0.75,0.75,1,0.75,1,1,1,0.375,0.583333333,0.75,0.375,0.625,0.125,0.375
7,25-34,female,0.428428573,0.285857141,0.33342857,0.541749999,0.633200002,,,0.25,,,,,,,,,,,0.5,,0.75,,,,,,0.5,,1,,,,,0.5,,,,0.5,,0.5,,,,0.25,,,,,,,,,,,,,0.75,,,0,0.25,0.75,,,0.5,,,,,,,,0.75,0.5,0.75,,,,,,,,,,0.5
122,25-34,male,0.703450821,0.64882787,0.684336067,0.539761904,0.752888891,1,1,0.833333333,1,0.5,0.9,1,0.8125,0.583333333,0.9,0.916666667,0.85,1,0.85,1,1,1,1,0.8125,0.916666667,1,0.75,0.9,1,0.9375,0.6875,1,1,1,1,1,0.85,0.875,0.625,0.875,0.625,1,0.8,0.7,0.916666667,1,0.875,0.75,0.875,0.4,0.75,0.833333333,0.7,0.6,0.95,0.85,1,0.75,0.65,0.7,0.916666667,0.6875,0.8125,0.875,0.583333333,0.666666667,0.75,0.75,0.5,0.666666667,0.45,0.833333333,0.75,0.8125,0.8125,1,1,0.75,0.6,0.916666667,0.75,0.7,0.5625,0.75,0.75
22,35-44,male,0.909045455,0.886363636,0.795454545,0.041749999,0.869071428,0.875,0.875,1,0.75,1,0.75,1,1,1,0.25,1,0.75,1,1,0.75,0.5,0.75,1,1,1,0.75,1,0.75,1,1,0.75,0.75,1,0.75,1,1,1,1,1,0.75,0.75,1,1,0.75,1,1,0.75,0.75,1,1,1,0.75,0.75,0.75,1,1,0.75,1,0.75,0.75,1,1,0.75,1,1,0.75,1,0.75,1,1,0.75,1,1,0.75,1,1,1,1,0.875,1,1,0.75,1,0.75,1
8,35-44,male,0.6875,0.520874999,0.520750001,0.222333332,0.583499998,,1,,,,,,,,0.75,,0.5,1,,0.75,,0.75,,0.75,,,,,,0.75,,0.75,,,1,0.75,,,,0.75,,0.75,0.5,,,,,,0.75,0.75,0.5,,,,,,,,,,,,0.75,,,,0.5,,0.5,0.75,0.5,,,,,,1,,,0.75,,,,,
64,25-34,female,0.726515626,0.609359375,0.666718749,0.166705882,0.705882353,,,0.666666667,0.625,0.5,0.75,0.5,0.833333333,0.375,0.75,0.75,0.75,1,0.75,0.75,0.916666667,0.833333333,0.75,0.416666667,0.75,0.75,0.75,0.75,1,0.75,0.5,,0.875,1,0.25,1,1,0.666666667,0.75,0.75,0.916666667,0.833333333,0.75,0.875,1,0.875,0.625,0.25,0.416666667,0.125,0.25,0.5,0.75,0.666666667,,0.5,0.583333333,0.25,0.5,0.166666667,0.083333333,0.875,0.625,0,,0.75,0.75,0.625,0.5,0.5,0.5,0.083333333,0.5,0.583333333,,0.5,0.333333333,0.75,0.125,0.25,0.625,0.625,0.25,0.75,0.75
46,45-54,male,0.641282609,0.489108696,0.50352174,0.285785713,0.730769231,1,1,1,1,0.75,0.625,,1,1,1,,1,1,1,0.5,0.5,,,1,1,,1,1,1,0.75,,1,1,0.75,,0.875,1,1,1,1,1,,1,0.5,1,1,,1,1,0.75,0.875,0.875,1,1,1,1,,0.75,1,0.75,,0.875,1,1,,,1,0.25,0.75,0.875,,0.75,1,1,,1,1,1,,1,,0.75,,0.5,0.75
8,25-34,transgender,0.229374997,0.187749997,0.187749997,,0.166999996,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,0.25,0.25,,,,,,0.25,,,,0.25,,,,,,,0.25,,0.25,,,,,,,,,,0.25,0.25,,,0.25,,,,0.25,0.25,,,,,,,0.25,,,,0.25,,0.25,,0.25,,0.25,,,,,,0.25
44,unspecified,female,0.833340909,0.833272728,0.897659092,0.062624998,0.845285714,1,0.9375,0.75,0.75,1,1,1,0.916666667,0.6875,0.916666667,0.9,1,0.75,0.6875,1,,0.75,1,1,0.25,1,0.875,0.5,0.625,0.375,0.125,0.3125,0,0.6875,1,0.75,0.3125,1,0.75,0.416666667,0.125,0.333333333,0.4375,0.125,0.166666667,0.5,1,0.875,0.916666667,0.75,0.75,0.875,0.25,0.75,0.833333333,0.875,0.875,1,0.875,0.625,0.75,0.666666667,0.3125,0.5,1,,0.8125,0.583333333,0.75,1,0.875,1,0.375,1,1,0.625,0.916666667,0.875,0.916666667,0.75,0.916666667,0.75,0.875,0.75,0.875
5,35-44,male,0.7,0.466600001,0.566600001,0.166666667,,,,1,1,,,,,0.75,,0.75,,1,,,,0.75,,,,,,,,1,,,,1,1,,1,1,0.25,,,,1,,1,0.75,,,,,,,0.75,,1,,0.25,0.25,,0.75,,1,1,1,,,1,,,0.75,,,0.75,,,,,,,,1,0.75,0.75,1,
4,35-44,female,0.333499998,0.208499998,0.25,0.25,0.333499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,0,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,,
150,35-44,female,0.778893333,0.727793333,0.695546667,0.366685714,0.505999999,0.625,0.55,0.55,0.5,0.125,0.65,0.65,0.5625,0.3,0.6,0.5,0.6,0.55,0.5,0.625,0.5625,0.6,0.65,0.375,0.55,0.5,0.5,0.45,0.6,0.45,0.5625,0.55,0.5,0.5625,0.25,0.65,0.583333333,0.5,0.45,0.5,0.4375,0.375,0.5,0.5,0.375,0.5,0.4375,0.4375,0.6875,0.3125,0.65,0.5,0.625,0.25,0.55,0.45,0.4375,0.5,0.4,0.4,0.35,0.416666667,0.375,0.4375,0.5,0.5,0.6,0.05,0.0625,0.1,0.416666667,0.35,0.25,0.125,0.5625,0.625,0.666666667,0.5,0.416666667,0.5,0.5625,0.2,0.5,0.45,0.6
25,16-24,male,0.806520002,0.59336,0.526560001,0.203777777,0.642785715,0.75,0.75,,1,0.75,0.75,0.75,0.75,,,0.75,,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1,,0.5,1,0.75,,,,0.5,0.75,0.75,0.75,1,0.75,0.5,,0.75,0.625,,1,1,0.75,,0.625,1,,0.5,0.75,,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,,1,0.75,0.75,0.75,0.75,1,0.75,0.5,1,,0.75,1,0.75,1,0.75,0.75,1,1,1,0.5,0.5,0.75
9,35-44,female,0.648111112,0.592555556,0.611222221,0.416500002,0.785714286,,0.75,0.5,,0.75,,0.75,,,,,,0.5,,,,0.75,,,,1,,,0.5,0.75,,,0.75,,,,,0.75,0.75,,,0.5,,,,,,,,,0.75,0.75,,,,,0.75,0.75,,,,,,,0.75,0.25,,,,,0.25,0.75,,,,,1,0.75,0.5,,0.5,0.75,,0.5,
5,55+,male,0.733399999,0.633200002,0.7,0.416500002,0.700199997,0.5,,,0.5,,,,,,,,0.5,,,,0.75,,,,,,,0.75,0.75,,,,,,1,,,1,0.75,,,1,,,,,,,,0.75,,,,,0.75,,,,,,,,,,,,,,,,,0.75,,1,,,,,,,,,,,1
9,25-34,male,0.759333332,0.53711111,0.685222222,0.083250001,0.61133333,,,,,,,,,,,,,,,0.25,0.25,,,,0.75,,,,,,,,,,0.75,,,,0.75,,,,,,,1,0.5,,0.75,,,0.5,,0.25,,,,0.75,,,1,,,0.5,,0.75,,,,,,,,,,,,0.75,,0.75,,,1,,
32,35-44,female,0.729249999,0.630281249,0.671875,0.129777776,0.730095239,0.75,0.75,,0.625,0.625,1,0.75,0.75,0.75,1,,0.375,,1,0.75,,0.75,1,0.75,0.625,0.75,,1,1,,0.75,,0.75,0.75,1,1,,0.75,1,0.625,0.5,0.75,0.75,0.75,0.75,,0.75,0.75,,0.25,0.75,0.75,0.75,,0.75,0.5,0.5,0.5,,0.875,,,0.75,0.75,0.75,0.75,0.75,0.5,0.75,,0.5,0.75,1,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,,1,,0.75
109,25-34,male,0.732357799,0.602541283,0.68204587,0.372500001,0.681727274,1,1,0.75,0.916666667,0,0.916666667,1,0.875,0.25,1,0.75,0.6875,1,0.666666667,0.916666667,0.75,0.9375,1,0.5,0.4375,0.416666667,0.416666667,0.75,0.625,0.25,0.25,0.583333333,0.416666667,0.666666667,0.625,0.5625,0.333333333,0.5,0.5625,0.5,0.5,0.25,0.25,0.5,0.5,0.333333333,0.8125,0.5,0.583333333,0.416666667,0.583333333,0.4375,0.375,0.4375,0.833333333,0.5,0.75,0.333333333,0.583333333,0.166666667,0.25,0,0.5,0.333333333,0,0,0,0,0.083333333,0,0,0.416666667,0.083333333,0.5,0.083333333,0.6875,0.833333333,0.166666667,0,0,0,0,0.25,0,0.0625
37,35-44,male,0.50454054,0.472972973,0.468513513,0.416714285,0.3095,0.5,1,0.75,0.5,0,0.5,0,0.5,0,0.75,0.5,0.25,0.75,0.75,0.25,0.75,0.75,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0,0.5,0.5,0.75,0.5,0.25,0.25,0,0.25,0.25,0.25,0.75,0.25,0.25,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.5,0,0,0.25,0.25,0.75,0.25,0,0,0.25,0,0,0,0.75
7,45-54,male,0.547714284,0.404571431,0.5,0.166999996,0.595142858,,,,0.75,,,,0.75,0.5,,,,,,0.5,,0.75,,,,0.75,0.25,,,,,0.25,,,0.5,0.75,,,,,,,,,0.25,,,0.5,,0.75,,,,,,,,,,,,,,,,0.5,,,,0.25,,,,0.25,0.5,,,,0.25,,,,0.5,,0.75
58,25-34,male,0.775793104,0.724103449,0.78737931,0.268555555,0.782025641,1,0.875,,0.625,0.75,0.875,,0.916666667,0.833333333,0.916666667,0.625,0.75,0.916666667,0.75,0.875,0.625,0.875,0.625,0.875,0.875,0.75,,0.875,1,0.875,0.916666667,0.75,0.75,0.583333333,0.75,0.833333333,0.75,0.833333333,1,0.833333333,0.75,0.625,0.833333333,0.75,0.75,0.75,0.75,0.5,0.625,0.625,0.333333333,0.833333333,0.583333333,0.583333333,0.875,0.5,1,0.75,0.625,0.416666667,0.75,0.833333333,0.75,1,0.583333333,0.5,0.75,0.416666667,0.75,0.75,0.75,0.75,0.25,0.833333333,0.75,1,1,0.25,0.416666667,0.833333333,0.5,0.75,0.5,0.875,0.75
3,35-44,unspecified,0.722333332,0.722000003,0.833333333,0.25,0.666666667,,,,,1,,,1,1,0.75,,,,,,,,,,,,,,1,,,,,0.75,,,,,,,,,,,0.75,0.75,,0.75,,,0.75,,,,1,,,,,,,,0.75,,0.5,,,0.75,,,,,1,,1,,,,0.75,,,,,0.75,
4,45-54,female,0.5,0.416500002,0.291500002,,,,,,,,,1,,,0.5,,,0.75,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.25,,,,
5,35-44,male,0.566799998,0.533399999,0.699800003,,0.75,,,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,0.5,,0.75,,,,,,0.25,,,,,0.25,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,0.25,,,,,,
484,35-44,female,0.787795456,0.715163224,0.726198348,0.075119718,0.813491892,0.857142857,0.75,0.791666667,0.865384615,0.634615385,0.769230769,0.865384615,0.769230769,0.769230769,0.942307692,0.833333333,0.895833333,0.946428571,0.886363636,0.785714286,0.8125,0.803571429,0.909090909,0.916666667,0.678571429,0.730769231,0.704545455,0.714285714,0.916666667,0.727272727,0.767857143,0.711538462,0.615384615,0.730769231,0.923076923,0.892857143,0.865384615,0.730769231,0.611111111,0.678571429,0.711538462,0.711538462,0.708333333,0.625,0.75,0.75,0.767857143,0.732142857,0.767857143,0.714285714,0.807692308,0.795454545,0.666666667,0.803571429,0.805555556,0.660714286,0.84375,0.75,0.770833333,0.729166667,0.732142857,0.732142857,0.75,0.839285714,0.795454545,0.821428571,0.8,0.711538462,0.833333333,0.785714286,0.732142857,0.75,0.833333333,0.807692308,0.942307692,0.75,0.958333333,0.865384615,0.9,0.788461538,0.846153846,0.729166667,0.961538462,0.8125,0.839285714
1,25-34,female,0.833000004,0.333000004,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,0.25,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,35-44,female,0.833000004,0.833000004,0.833000004,0,,,1,,,,,1,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45-54,male,1,1,1,,0.833000004,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
69,35-44,female,0.531405797,0.52657971,0.632927535,0.205999998,0.666666667,1,0.75,0.5,1,0.375,0.625,0.75,0.75,0.25,1,0.25,0.875,0.625,1,0.875,0.5,0.625,0.375,0.625,0.375,1,0.625,0.75,0.75,0.5,0.625,0.5,0.5,0.25,0.875,0.5,0.875,0.75,0.5,0.875,0.625,0.875,0.625,0.375,0.5,0.5,0.875,0.25,0.75,0.375,0.625,0.5,0.875,0.5,0.75,0.5,0.75,0.5,0.375,0.5,0.5,0.25,0.625,0.625,0.5,0.625,0.75,0,0.875,0.875,0.125,0.75,0.25,0.125,0.625,0.875,1,0.5,0.5,0.625,0.75,0.5,0.75,0.375,0.75
2,45-54,female,0.25,0.166999996,0.333499998,,,,,,,,,,,,,0.75,1,,,,,1,,,,,0.75,,1,,,,,0.75,,,,,,,,,,,,,,,,,,,,0.5,0.75,,,,,,,,,1,,,,,,,,,,0.75,,,,,0.75,,,,0.75,,
19,35-44,male,0.72794737,0.64031579,0.614,0.145874999,0.611000001,0.75,0.75,,0.75,,,,,0.75,0.75,,0.75,,0.25,0.75,0.75,0.75,0.5,0.75,0.75,,,0.75,1,0.5,,0.5,,0.75,,1,,0.75,,0.75,,0.75,,,0.75,,,0.75,0.75,,,0.75,0.75,,0.75,0.625,0.25,0.75,0.75,,,,0.75,,,,0.75,0.25,,,0.75,,0,,0.5,0.75,,0.75,0.5,0.75,0.75,,,,0.75
25,25-34,female,0.499960001,0.280079999,0.280079999,0.229249999,0.611166666,0,0.75,,0.25,0.25,0,,0.5,,,0.25,1,0,0.5,0.75,0.5,0,,,0,0,0,,0,0.75,,0,,,,,0,0,,,0,1,0,0.5,,0,,1,0.75,,0,0,0,0.5,0.5,,,0,,,0,0.5,,0.5,0.75,0,1,0.25,0.25,0.25,,0.5,0.5,0.5,0.5,,,0.25,,,,,1,,0
